name,genre,type,sum
kimi no na wa,"drama, romance, school, supernatural",movie,"kimi no na wa drama, romance, school, supernatural movie"
fullmetal alchemist: brotherhoo,"action, adventure, drama, fantasy, magic, military, shounen",tv,"fullmetal alchemist: brotherhoo action, adventure, drama, fantasy, magic, military, shounen tv"
gintama,"action, comedy, historical, parody, samurai, sci-fi, shounen",tv,"gintama action, comedy, historical, parody, samurai, sci-fi, shounen tv"
steins;gat,"sci-fi, thriller",tv,"steins;gat sci-fi, thriller tv"
gintama&#039,"action, comedy, historical, parody, samurai, sci-fi, shounen",tv,"gintama&#039 action, comedy, historical, parody, samurai, sci-fi, shounen tv"
haikyuu!!: karasuno koukou vs shiratorizawa gakuen kouko,"comedy, drama, school, shounen, sports",tv,"haikyuu!!: karasuno koukou vs shiratorizawa gakuen kouko comedy, drama, school, shounen, sports tv"
hunter x hunter (2011,"action, adventure, shounen, super power",tv,"hunter x hunter (2011 action, adventure, shounen, super power tv"
ginga eiyuu densets,"drama, military, sci-fi, space",ova,"ginga eiyuu densets drama, military, sci-fi, space ova"
gintama movie: kanketsu-hen - yorozuya yo eien nar,"action, comedy, historical, parody, samurai, sci-fi, shounen",movie,"gintama movie: kanketsu-hen - yorozuya yo eien nar action, comedy, historical, parody, samurai, sci-fi, shounen movie"
gintama&#039;: enchouse,"action, comedy, historical, parody, samurai, sci-fi, shounen",tv,"gintama&#039;: enchouse action, comedy, historical, parody, samurai, sci-fi, shounen tv"
clannad: after stor,"drama, fantasy, romance, slice of life, supernatural",tv,"clannad: after stor drama, fantasy, romance, slice of life, supernatural tv"
koe no katach,"drama, school, shounen",movie,"koe no katach drama, school, shounen movie"
gintam,"action, comedy, historical, parody, samurai, sci-fi, shounen",tv,"gintam action, comedy, historical, parody, samurai, sci-fi, shounen tv"
code geass: hangyaku no lelouch r,"action, drama, mecha, military, sci-fi, super power",tv,"code geass: hangyaku no lelouch r action, drama, mecha, military, sci-fi, super power tv"
haikyuu!! second seaso,"comedy, drama, school, shounen, sports",tv,"haikyuu!! second seaso comedy, drama, school, shounen, sports tv"
sen to chihiro no kamikakush,"adventure, drama, supernatural",movie,"sen to chihiro no kamikakush adventure, drama, supernatural movie"
shigatsu wa kimi no us,"drama, music, romance, school, shounen",tv,"shigatsu wa kimi no us drama, music, romance, school, shounen tv"
mushishi zoku shou 2nd seaso,"adventure, fantasy, historical, mystery, seinen, slice of life, supernatural",tv,"mushishi zoku shou 2nd seaso adventure, fantasy, historical, mystery, seinen, slice of life, supernatural tv"
ookami kodomo no ame to yuk,"fantasy, slice of life",movie,"ookami kodomo no ame to yuk fantasy, slice of life movie"
code geass: hangyaku no lelouc,"action, mecha, military, school, sci-fi, super power",tv,"code geass: hangyaku no lelouc action, mecha, military, school, sci-fi, super power tv"
hajime no ipp,"comedy, drama, shounen, sports",tv,"hajime no ipp comedy, drama, shounen, sports tv"
rurouni kenshin: meiji kenkaku romantan - tsuioku-he,"action, drama, historical, martial arts, romance, samurai",ova,"rurouni kenshin: meiji kenkaku romantan - tsuioku-he action, drama, historical, martial arts, romance, samurai ova"
cowboy bebo,"action, adventure, comedy, drama, sci-fi, space",tv,"cowboy bebo action, adventure, comedy, drama, sci-fi, space tv"
one punch ma,"action, comedy, parody, sci-fi, seinen, super power, supernatural",tv,"one punch ma action, comedy, parody, sci-fi, seinen, super power, supernatural tv"
mononoke him,"action, adventure, fantasy",movie,"mononoke him action, adventure, fantasy movie"
suzumiya haruhi no shoushits,"comedy, mystery, romance, school, sci-fi, supernatural",movie,"suzumiya haruhi no shoushits comedy, mystery, romance, school, sci-fi, supernatural movie"
monogatari series: second seaso,"comedy, mystery, romance, supernatural, vampire",tv,"monogatari series: second seaso comedy, mystery, romance, supernatural, vampire tv"
mushishi zoku sho,"adventure, fantasy, historical, mystery, seinen, slice of life, supernatural",tv,"mushishi zoku sho adventure, fantasy, historical, mystery, seinen, slice of life, supernatural tv"
mushish,"adventure, fantasy, historical, mystery, seinen, slice of life, supernatural",tv,"mushish adventure, fantasy, historical, mystery, seinen, slice of life, supernatural tv"
tengen toppa gurren lagan,"action, adventure, comedy, mecha, sci-fi",tv,"tengen toppa gurren lagan action, adventure, comedy, mecha, sci-fi tv"
great teacher onizuk,"comedy, drama, school, shounen, slice of life",tv,"great teacher onizuk comedy, drama, school, shounen, slice of life tv"
natsume yuujinchou g,"drama, fantasy, shoujo, slice of life, supernatural",tv,"natsume yuujinchou g drama, fantasy, shoujo, slice of life, supernatural tv"
hajime no ippo: new challenge,"comedy, drama, shounen, sports",tv,"hajime no ippo: new challenge comedy, drama, shounen, sports tv"
mushishi zoku shou: suzu no shizuk,"adventure, fantasy, historical, mystery, seinen, slice of life, supernatural",movie,"mushishi zoku shou: suzu no shizuk adventure, fantasy, historical, mystery, seinen, slice of life, supernatural movie"
natsume yuujinchou sh,"drama, fantasy, shoujo, slice of life, supernatural",tv,"natsume yuujinchou sh drama, fantasy, shoujo, slice of life, supernatural tv"
howl no ugoku shir,"adventure, drama, fantasy, romance",movie,"howl no ugoku shir adventure, drama, fantasy, romance movie"
fate/zero 2nd seaso,"action, fantasy, supernatural, thriller",tv,"fate/zero 2nd seaso action, fantasy, supernatural, thriller tv"
kizumonogatari ii: nekketsu-he,"action, mystery, supernatural, vampire",movie,"kizumonogatari ii: nekketsu-he action, mystery, supernatural, vampire movie"
monste,"drama, horror, mystery, police, psychological, seinen, thriller",tv,"monste drama, horror, mystery, police, psychological, seinen, thriller tv"
bakuman. 3rd seaso,"comedy, drama, romance, shounen",tv,"bakuman. 3rd seaso comedy, drama, romance, shounen tv"
death not,"mystery, police, psychological, supernatural, thriller",tv,"death not mystery, police, psychological, supernatural, thriller tv"
gintama°: aizome kaori-he,"comedy, parody",ova,"gintama°: aizome kaori-he comedy, parody ova"
ansatsu kyoushitsu (tv) 2nd seaso,"action, comedy, school, shounen",tv,"ansatsu kyoushitsu (tv) 2nd seaso action, comedy, school, shounen tv"
haikyuu!,"comedy, drama, school, shounen, sports",tv,"haikyuu! comedy, drama, school, shounen, sports tv"
hajime no ippo: risin,"comedy, drama, shounen, sports",tv,"hajime no ippo: risin comedy, drama, shounen, sports tv"
kara no kyoukai 5: mujun rase,"action, drama, mystery, romance, supernatural, thriller",movie,"kara no kyoukai 5: mujun rase action, drama, mystery, romance, supernatural, thriller movie"
natsume yuujinchou sa,"drama, fantasy, shoujo, slice of life, supernatural",tv,"natsume yuujinchou sa drama, fantasy, shoujo, slice of life, supernatural tv"
ping pong the animatio,"psychological, seinen, sports",tv,"ping pong the animatio psychological, seinen, sports tv"
mushishi special: hihamukag,"adventure, fantasy, historical, mystery, seinen, slice of life, supernatural",special,"mushishi special: hihamukag adventure, fantasy, historical, mystery, seinen, slice of life, supernatural special"
boku dake ga inai mach,"mystery, psychological, seinen, supernatural",tv,"boku dake ga inai mach mystery, psychological, seinen, supernatural tv"
